gene,MitoPathways
PDP1,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
ECI1,Metabolism > Lipid metabolism > Fatty acid oxidation
SLC25A21,Metabolism > Amino acid metabolism | Small molecule transport > SLC25A family
SLC25A29,Metabolism > Amino acid metabolism > Lysine metabolism | Small molecule transport > SLC25A family
SLC25A45,Small molecule transport > SLC25A family
SDHAF3,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors
PRELID3B,Metabolism > Lipid metabolism > Phospholipid metabolism
SLC25A39,Small molecule transport > SLC25A family
NDUFB3,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
REXO2,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay
GATM,Metabolism > Nucleotide metabolism > Creatine metabolism
TIMM10B,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"
SARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
CHDH,"Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Metabolism > Electron carriers > Q-linked reactions, other"
MRPL57,Mitochondrial central dogma > Translation > Mitochondrial ribosome
C8ORF82,0
EARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
GRHPR,Metabolism > Amino acid metabolism > Glyoxylate metabolism
MTFMT,Mitochondrial central dogma > Translation > fMet processing | Metabolism > Vitamin metabolism > Folate and 1-C metabolism
PTCD2,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing
ECHDC1,Metabolism > Lipid metabolism
HARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
NDUFA4,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
NDUFA13,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
NAXE,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism
TMEM11,Mitochondrial dynamics and surveillance
SELENOO,Metabolism > Detoxification > Selenoproteins
NAGS,Metabolism > Amino acid metabolism > Urea cycle
HSD17B4,Metabolism > Lipid metabolism
NDUFAF7,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
OAT,Metabolism > Amino acid metabolism > Proline metabolism
MRPL50,Mitochondrial central dogma > Translation > Mitochondrial ribosome
COX7B,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
RARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
OXLD1,0
LACTB2,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay
NDUFA11,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
AURKAIP1,Mitochondrial central dogma > Translation > Mitochondrial ribosome
CHCHD7,Metabolism > Metals and cofactors > Copper metabolism
SHMT2,Metabolism > Amino acid metabolism > Serine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism
MTHFD2,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
RMDN1,0
CPS1,Metabolism > Amino acid metabolism > Urea cycle
MRPL14,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MTRES1,Mitochondrial central dogma > mtRNA metabolism > Transcription | Mitochondrial central dogma > Translation
RDH13,Metabolism > Vitamin metabolism > Vitamin A metabolism
TRMT2B,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications
MRPS24,Mitochondrial central dogma > Translation > Mitochondrial ribosome
COA3,Mitochondrial central dogma > Translation > Translation factors | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
GSR,Metabolism > Detoxification > ROS and glutathione metabolism
ENDOG,Mitochondrial central dogma > mtDNA maintenance > mtDNA stability and decay | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial dynamics and surveillance > Apoptosis
BCAT2,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
TEFM,Mitochondrial central dogma > mtRNA metabolism > Transcription
ACSF2,Metabolism > Lipid metabolism > Fatty acid oxidation
TRMU,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications
MRPS22,Mitochondrial central dogma > Translation > Mitochondrial ribosome
LAP3,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
GLUD1,Metabolism > Amino acid metabolism > Glutamate metabolism | Metabolism > Amino acid metabolism > GABA metabolism
HMGCL,Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
FHIT,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
MRPS33,Mitochondrial central dogma > Translation > Mitochondrial ribosome
NUBPL,OXPHOS > Complex I > CI assembly factors | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS assembly factors
LYRM2,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
MPV17L,Small molecule transport
GADD45GIP1,Mitochondrial central dogma > Translation > Mitochondrial ribosome
TFAM,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtRNA metabolism > Transcription
ALDH18A1,Metabolism > Amino acid metabolism > Proline metabolism
OXSM,Metabolism > Lipid metabolism > Type II fatty acid synthesis
KYAT3,Metabolism > Amino acid metabolism > Kynurenine metabolism | Metabolism > Metals and cofactors > NAD biosynthesis and metabolism
TARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
TBRG4,Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay
TMEM65,0
ROMO1,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway | Small molecule transport"
PRDX5,Metabolism > Detoxification > ROS and glutathione metabolism
DNAJC15,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor"
MAIP1,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
HIGD1A,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors | OXPHOS > Respirasome assembly
C16ORF91,0
RHOT2,Signaling > Calcium homeostasis > EF hand proteins | Mitochondrial dynamics and surveillance > Trafficking
SLC25A44,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Small molecule transport > SLC25A family
HAO2,Metabolism > Lipid metabolism
OXA1L,"Protein import, sorting and homeostasis > Protein import and sorting > OXA | Mitochondrial central dogma > Translation"
SLC25A46,Small molecule transport > SLC25A family | Mitochondrial dynamics and surveillance > Fission | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions
RDH14,Metabolism > Vitamin metabolism > Vitamin A metabolism
ATP5MPL,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
CA5B,Metabolism > Amino acid metabolism > Urea cycle
COASY,Metabolism > Metals and cofactors > Coenzyme A metabolism
CISD3,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
GSTZ1,Metabolism > Detoxification > Xenobiotic metabolism
COX6B2,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
GLOD4,0
ACAA1,Metabolism > Lipid metabolism
CROT,Metabolism > Lipid metabolism > Fatty acid oxidation
PDF,"Mitochondrial central dogma > Translation > fMet processing | Protein import, sorting and homeostasis > Protein homeostasis"
COX19,OXPHOS > Complex IV > CIV assembly factors | Metabolism > Metals and cofactors > Copper metabolism | OXPHOS > OXPHOS assembly factors
AMT,Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system | Metabolism > Vitamin metabolism > Folate and 1-C metabolism
PDPR,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
NLN,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
BOLA1,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins
ALAS2,Metabolism > Metals and cofactors > Heme synthesis and processing
GRPEL2,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis"
ALDH7A1,Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Metabolism > Detoxification > ROS and glutathione metabolism
HDHD5,0
GFER,"Protein import, sorting and homeostasis > Protein import and sorting > MIA40"
IMMP2L,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
COX4I2,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
MRPL39,Mitochondrial central dogma > Translation > Mitochondrial ribosome
AADAT,Metabolism > Amino acid metabolism > Lysine metabolism
FUNDC2,Mitochondrial dynamics and surveillance > Organelle contact sites | Signaling
LYPLA1,Metabolism > Lipid metabolism | Signaling
PDHA2,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
MTRF1L,Mitochondrial central dogma > Translation > Translation factors
GTPBP3,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Metabolism > Vitamin metabolism > Folate and 1-C metabolism
MTHFD2L,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
YME1L1,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
ACOT2,Metabolism > Lipid metabolism
COA8,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
MMAB,Metabolism > Vitamin metabolism > Vitamin B12 metabolism
PPOX,Metabolism > Metals and cofactors > Heme synthesis and processing
ABCD3,Small molecule transport > ABC transporters
SIRT3,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism | Signaling
LDHD,Metabolism > Carbohydrate metabolism
MRPL45,Mitochondrial central dogma > Translation > Mitochondrial ribosome
C12ORF65,Mitochondrial central dogma > Translation > Translation factors
IMMP1L,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
POLG,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtDNA maintenance > mtDNA repair
ATPAF1,OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors
BLOC1S1,Signaling
ALDH1L2,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
COX18,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
CPOX,Metabolism > Metals and cofactors > Heme synthesis and processing
NNT,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism
NDUFAF8,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
ATP23,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
DCAKD,0
ATP5MF,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
SLC16A1,
SFXN3,Metabolism > Amino acid metabolism > Serine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Small molecule transport > Sideroflexins
LONP2,
AASS,Metabolism > Amino acid metabolism > Lysine metabolism
DIABLO,Mitochondrial dynamics and surveillance > Apoptosis
COX8C,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
PXMP2,0
AGXT2,Metabolism > Amino acid metabolism > Glyoxylate metabolism
GLS2,Metabolism > Amino acid metabolism > Glutamate metabolism
APOO,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex
ACAD11,Metabolism > Lipid metabolism > Fatty acid oxidation
C5ORF63,0
HOGA1,Metabolism > Amino acid metabolism > Glyoxylate metabolism
TTC19,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors
NGRN,Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
TCAIM,0
GCSH,Metabolism > Lipid metabolism > Lipoate insertion | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system
SIRT5,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism
GPT2,Metabolism > Amino acid metabolism > Glutamate metabolism
TOMM6,"Protein import, sorting and homeostasis > Protein import and sorting > TOM"
FAM162A,0
ABCB6,Metabolism > Metals and cofactors > Heme synthesis and processing | Small molecule transport > ABC transporters
MACROD1,Signaling
TST,Metabolism > Detoxification > Xenobiotic metabolism | Metabolism > Sulfur metabolism
MT-CO1,OXPHOS > Complex IV > CIV subunits | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits
MTFR1L,0
SDR39U1,0
DMGDH,Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism
SLC25A14,Metabolism > Sulfur metabolism | Small molecule transport > SLC25A family
PRELID3A,Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism
SLC25A17,
CHCHD5,0
TOMM70,"Protein import, sorting and homeostasis > Protein import and sorting > TOM"
NIT1,Metabolism > Detoxification > ROS and glutathione metabolism
FAHD1,Metabolism > Carbohydrate metabolism > TCA-associated
MCU,Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > Calcium uniporter
CYP27A1,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme-containing proteins"
MT-ND2,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
MT-ND4,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
MT-ND5,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
MDH1,
DELE1,Signaling
FASTKD1,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay
MRPS31,Mitochondrial central dogma > Translation > Mitochondrial ribosome
ALDH1L1,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
PTCD1,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules
HADHB,Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Lysine metabolism
TRIT1,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications
CRLS1,Metabolism > Lipid metabolism > Cardiolipin synthesis
GLYCTK,Metabolism > Carbohydrate metabolism
SLC25A32,Metabolism > Vitamin metabolism > Vitamin B2 metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Small molecule transport > SLC25A family
AARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
EXOG,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA repair | Mitochondrial central dogma > mtDNA maintenance > mtDNA stability and decay
CHCHD2,Mitochondrial dynamics and surveillance > Apoptosis
KMO,Metabolism > Amino acid metabolism > Kynurenine metabolism | Metabolism > Metals and cofactors > NAD biosynthesis and metabolism
SFXN5,Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport > Sideroflexins
ELAC2,Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing
GPX1,Metabolism > Detoxification > ROS and glutathione metabolism | Metabolism > Detoxification > Selenoproteins
CPT1B,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle
ME1,
FIS1,Mitochondrial dynamics and surveillance > Fission
PRELID1,Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism
UCP3,Small molecule transport > SLC25A family
SLC25A27,Small molecule transport > SLC25A family
SLC25A40,Small molecule transport > SLC25A family
SLC25A23,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family
HEMK1,Mitochondrial central dogma > Translation > Translation factors
SLC25A36,Metabolism > Nucleotide metabolism > Nucleotide import | Small molecule transport > SLC25A family
OMA1,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases | Mitochondrial dynamics and surveillance > Fusion | Mitochondrial dynamics and surveillance > Fission"
LETM2,0
DHRS1,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis"
STOM,0
METTL5,Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications
MSRA,Metabolism > Detoxification > ROS and glutathione metabolism | Metabolism > Sulfur metabolism
NUDT8,Metabolism > Metals and cofactors > Coenzyme A metabolism
NMNAT3,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism
SLC25A38,Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Small molecule transport > SLC25A family
MPV17L2,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
ACLY,Metabolism > Carbohydrate metabolism > TCA-associated
ABCD2,Small molecule transport > ABC transporters
FLAD1,Metabolism > Vitamin metabolism > Vitamin B2 metabolism
LIPT1,Metabolism > Lipid metabolism > Lipoate insertion
DGLUCY,Metabolism > Amino acid metabolism
PCK2,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > TCA-associated
NADK2,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism
HK2,
MPST,Metabolism > Detoxification > Xenobiotic metabolism | Metabolism > Sulfur metabolism
NUDT13,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism
ACACA,Metabolism > Lipid metabolism > Type II fatty acid synthesis | Metabolism > Vitamin metabolism > Biotin utilizing proteins
ABAT,Metabolism > Amino acid metabolism > GABA metabolism | Metabolism > Metals and cofactors > Fe-S-containing proteins
HMGCS2,Metabolism > Carbohydrate metabolism > Ketone metabolism
ALDH5A1,Metabolism > Amino acid metabolism > GABA metabolism
CKMT1A,Metabolism > Nucleotide metabolism > Creatine metabolism
PISD,Metabolism > Lipid metabolism > Phospholipid metabolism
NDUFB4,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
UQCR11,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits
FAM136A,0
TOMM5,"Protein import, sorting and homeostasis > Protein import and sorting > TOM"
HTRA2,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases | Mitochondrial dynamics and surveillance > Apoptosis"
GPI,
NDUFA1,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
MT-CYB,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits
GUK1,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
D2HGDH,Metabolism > Carbohydrate metabolism > TCA-associated
OPA3,0
AKR1B10,Metabolism > Vitamin metabolism > Vitamin A metabolism | Metabolism > Detoxification > Xenobiotic metabolism
PHYH,Metabolism > Lipid metabolism
NDUFAF2,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
ECSIT,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
PARL,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases | Mitochondrial dynamics and surveillance > Mitophagy | Mitochondrial dynamics and surveillance > Autophagy"
MRPL42,Mitochondrial central dogma > Translation > Mitochondrial ribosome
DNAJC4,"Protein import, sorting and homeostasis > Protein homeostasis"
PAM16,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor"
ALDH3A2,Metabolism > Detoxification > ROS and glutathione metabolism
ACSL6,Metabolism > Lipid metabolism > Fatty acid oxidation
TYSND1,
MRS2,Small molecule transport | Signaling
ABHD10,Metabolism > Detoxification > Xenobiotic metabolism
HINT3,0
PXMP4,0
OSGEPL1,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications
NUDT2,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
CYB5B,Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Detoxification > Xenobiotic metabolism | Metabolism > Detoxification > Amidoxime reducing complex | Metabolism > Electron carriers > Cytochromes
GRSF1,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
MRPS18B,Mitochondrial central dogma > Translation > Mitochondrial ribosome
DNAJC30,0
CAT,Metabolism > Detoxification > ROS and glutathione metabolism
DGUOK,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
ACOT9,Metabolism > Lipid metabolism
ACSS1,Metabolism > Lipid metabolism > Fatty acid oxidation
RFK,Metabolism > Vitamin metabolism > Vitamin B2 metabolism
STARD7,Metabolism > Lipid metabolism > Phospholipid metabolism | Small molecule transport
CHPT1,Metabolism > Lipid metabolism > Phospholipid metabolism
MT-ATP8,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
TIMMDC1,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
SPATA19,0
HTATIP2,0
AKR7A2,Metabolism > Amino acid metabolism > GABA metabolism | Metabolism > Detoxification > Xenobiotic metabolism
DUT,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
KIAA0100,
MT-CO3,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits
DHRS7B,0
MTRF1,Mitochondrial central dogma > Translation > Translation factors
TMEM143,0
NT5M,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
RHOT1,Signaling > Calcium homeostasis > EF hand proteins | Mitochondrial dynamics and surveillance > Trafficking
NME4,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
MTHFS,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
TIMM29,"Protein import, sorting and homeostasis > Protein import and sorting > TIM22 carrier pathway"
PNPO,Metabolism > Vitamin metabolism > Vitamin B6 metabolism
IDH1,
MICU2,Signaling > Calcium homeostasis > Calcium cycle | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > Calcium uniporter
PCBD2,Metabolism > Metals and cofactors > Tetrahydrobiopterin synthesis
QRSL1,Mitochondrial central dogma > Translation > mt-tRNA synthetases
ADCK1,0
PRDX6,Metabolism > Lipid metabolism > Phospholipid metabolism | Metabolism > Detoxification > ROS and glutathione metabolism
TKT,
NIPSNAP1,Mitochondrial dynamics and surveillance > Mitophagy | Mitochondrial dynamics and surveillance > Autophagy
GARS1,Mitochondrial central dogma > Translation > mt-tRNA synthetases
ACSM2A,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Detoxification > Xenobiotic metabolism
SLC25A33,Metabolism > Nucleotide metabolism > Nucleotide import | Small molecule transport > SLC25A family
DHRSX,
LYRM9,0
RAB24,Mitochondrial dynamics and surveillance > Fission | Mitochondrial dynamics and surveillance > Autophagy
PARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
MRPL52,Mitochondrial central dogma > Translation > Mitochondrial ribosome
PUS1,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications
GOT2,Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Amino acid metabolism > Glutamate metabolism | Metabolism > Amino acid metabolism > Glyoxylate metabolism | Metabolism > Amino acid metabolism > Kynurenine metabolism | Metabolism > Sulfur metabolism
NAXD,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism
MT-ND3,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
ACCS,0
PTRH2,0
PGS1,Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism
OXR1,Metabolism > Detoxification > ROS and glutathione metabolism
LYPLAL1,Metabolism > Lipid metabolism
DNAJC28,0
GSTO1,
FPGS,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
TMEM205,0
SLC25A53,Small molecule transport > SLC25A family
AIFM3,Metabolism > Metals and cofactors > Fe-S-containing proteins | Mitochondrial dynamics and surveillance > Apoptosis
MGST1,Metabolism > Detoxification > Xenobiotic metabolism | Metabolism > Detoxification > ROS and glutathione metabolism
ABCA13,
MTFP1,Mitochondrial dynamics and surveillance > Fission
TUBB3,
COA4,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
NIF3L1,0
PUSL1,Mitochondrial central dogma > Translation
SDSL,Metabolism > Amino acid metabolism > Serine metabolism
BAX,Mitochondrial dynamics and surveillance > Apoptosis
MAVS,Signaling > Immune response
METTL17,Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
ACACB,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Vitamin metabolism > Biotin utilizing proteins
ARG2,Metabolism > Amino acid metabolism
MTPAP,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications | Mitochondrial central dogma > mtRNA metabolism > mt-mRNA modifications | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay
CCDC51,Small molecule transport
SUGCT,Metabolism > Amino acid metabolism
DNM1L,Mitochondrial dynamics and surveillance > Fission
NRDC,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"
TMEM126B,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors
NSUN4,Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
ACSS3,Metabolism > Lipid metabolism
FAM210B,Metabolism > Metals and cofactors > Iron homeostasis
RBFA,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
CISD2,
METAP1D,"Mitochondrial central dogma > Translation > fMet processing | Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
AHCYL1,Mitochondrial dynamics and surveillance > Organelle contact sites
NIPSNAP3A,0
MTARC1,Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins | Metabolism > Detoxification > Xenobiotic metabolism | Metabolism > Detoxification > Amidoxime reducing complex
FUNDC1,Mitochondrial dynamics and surveillance > Mitophagy | Mitochondrial dynamics and surveillance > Autophagy
ACSL1,Metabolism > Lipid metabolism > Fatty acid oxidation
COX20,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
HSDL1,0
CBR3,Metabolism > Detoxification > Xenobiotic metabolism
MTERF4,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
NUDT19,Metabolism > Metals and cofactors > Coenzyme A metabolism
HEBP1,0
PTPMT1,Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism
PGAM5,Mitochondrial dynamics and surveillance > Mitophagy | Mitochondrial dynamics and surveillance > Autophagy
DTYMK,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
KARS1,Mitochondrial central dogma > Translation > mt-tRNA synthetases
STAR,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis"
DNAJC19,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor"
HMBS,
OTC,Metabolism > Amino acid metabolism > Urea cycle
